name,address,distance,distance_type,rating,capaciity,area,price
Dzu Homestay 2,Hai Phong,2.2,km,null,1 adult,null,"1,180,000"
HOTEL Blue Rose,Hai Phong,3.2,km,8.4,1 adult,null,"600,000"
Tan An Palace,Hai Phong,2.8,km,7.2,1 adult,29m˝,"920,000"
Tr??ng Sinh Hotel,Hai Phong,2.8,km,8.7,1 adult,null,"650,000"
DT Hotel Hai Phong,Hai Phong,2.1,km,9,1 adult,null,"391,500"
Dzu Homestay,Hai Phong,1.3,km,8.9,1 adult,null,"420,000"
Avani Hai Phong Harbour View Hotel,Hai Phong,1.1,km,8.6,1 adult,null,"1,606,649"
HM Hotel& Apartment,Hai Phong,3.6,km,8.5,1 adult,null,"550,000"
Pearl River Hotel,Hai Phong,4.6,km,8.4,1 adult,null,"1,550,000"
Chu?i c?n h? Merci Apartment & Homestay - Vinhomes Marina Hai Phong,Hai Phong,4.1,km,9.1,1 adult,28m˝,"470,000"
1986 Cafe & Stay,Hai Phong,0.8,km,8,1 adult,null,"750,000"
Eujin Village,Hai Phong,11.1,km,null,1 adult,45m˝,"1,287,000"
Meli† Vinpearl Hai Phong Rivera,Hai Phong,2.2,km,8.4,1 adult,null,"1,825,486"
Kim Hotel and Apartment,Hai Phong,8.8,km,9,1 adult,null,"855,000"
Hotel Nikko Hai Phong,Hai Phong,3.7,km,8.9,1 adult,null,"2,217,600"
Dzu Homestay 2,Hai Phong,2.2,km,null,1 adult,null,"1,180,000"
Lilyhomes Apartment T3,Hai Phong,4.2,km,null,1 adult,50m˝,"1,200,000"
M?p Homestay,Hai Phong,2.5,km,10,1 adult,null,"800,000"
Lucky Homestay,Hai Phong,2.6,km,null,1 adult,null,"512,000"
Chu?i c?n h? Merci Apartment & Homestay - Vinhomes Imperia Hai Phong,Hai Phong,2.2,km,8.4,1 adult,null,"350,000"
HAPPY HOMESTAY,Hai Phong,0.6,km,9.6,1 adult,20m˝,"617,500"
Hoang Huy Grand Tower,Hai Phong,2.5,km,null,1 adult,60m˝,"1,100,000"
Homestay Ms. Hoa,Hai Phong,0.5,km,null,1 adult,null,"300,000"
Hungsen Homestay,Hai Phong,40.2,km,null,1 adult,null,"382,500"
Chu?i c?n h? Merci Apartment & Homestay - Hoang Huy Grand Tower HP,Hai Phong,2.3,km,9,1 adult,70m˝,"800,000"
LAD homestay H?i Phïng - Ph? K? ??ng,Hai Phong,350,m,null,1 adult,45m˝,"424,080"
HD 141 Vinhomes Marina 2 phïng ng?,Hai Phong,4.1,km,null,1 adult,null,"1,000,000"
Ray Studio,Hai Phong,1.3,km,7,1 adult,null,"2,500,000"
PH Hotel & Apartment,Hai Phong,350,m,9.3,1 adult,32m˝,"1,100,250"
Sheraton Hai Phong,Hai Phong,2.2,km,8.6,1 adult,null,"2,365,000"
VinHomes Imperia H?i Phïng,Hai Phong,2.2,km,7,1 adult,35m˝,"600,000"
Happy Homestay 2,Hai Phong,0.6,km,null,1 adult,null,"405,000"
C?n h? 2 ng? SAKURA,Hai Phong,3.2,km,null,1 adult,55m˝,"1,200,000"
Mercure Hai Phong,Hai Phong,0.8,km,8.2,1 adult,null,"1,309,000"
The Opera Hotel H?i Phïng,Hai Phong,0.6,km,7.5,1 adult,null,"637,500"
Song Kim Hotel,Hai Phong,3.7,km,9.4,1 adult,null,"455,000"
PF APARTMENT & HOMESTAY,Hai Phong,2.5,km,null,1 adult,62m˝,"1,200,000"
