hcm,hn,dn,dl,other,distance,rating,capacity,area,price
0,0,0,0,1,700,7.9,2,null,280000
0,0,0,0,1,1900,7.6,2,null,350000
0,0,0,0,1,300,8.2,2,null,270000
0,0,0,0,1,2100,6.2,2,null,330000
0,0,0,0,1,1400,9.5,2,null,1950000
0,0,0,0,1,3800,8.4,2,null,500000
0,0,0,0,1,1500,6.7,2,null,220000
0,0,0,0,1,300,8.9,2,72,936000
0,0,0,0,1,4000,9,2,null,350000
0,0,0,0,1,8700,9.1,2,null,180000
0,0,0,0,1,1200,8,2,null,750000
0,0,0,0,1,3400,9.7,2,35,585000
0,0,0,0,1,600,8,2,null,450000
0,0,0,0,1,1600,8.1,2,null,500000
0,0,0,0,1,700,7.1,2,null,1131000
0,0,0,0,1,1700,4.5,2,null,332500
0,0,0,0,1,3400,8,2,null,243000
0,0,0,0,1,1500,6,2,null,550000
0,0,0,0,1,6700,7.5,2,null,600000
0,0,0,0,1,700,7.9,2,null,1512000
0,0,0,0,1,1700,8.7,2,null,640000
0,0,0,0,1,1800,8.3,2,null,320000
0,0,0,0,1,2800,9,2,null,590000
0,0,0,0,1,400,9.1,2,null,315000
0,0,0,0,1,1300,8.5,2,null,522000
0,0,0,0,1,6100,10,2,20,675675
0,0,0,0,1,3000,8.3,2,null,315000
0,0,0,0,1,2000,6.8,2,null,450000
0,0,0,0,1,500,7.2,2,null,493000
0,0,0,0,1,3700,9.3,2,null,528000
0,0,0,0,1,1000,6.4,2,null,391500
0,0,0,0,1,600,6,2,null,313110
0,0,0,0,1,1300,9.6,2,null,273600
0,0,0,0,1,200,7.7,2,null,1311000
0,0,0,0,1,1300,9.1,2,null,945000
0,0,0,0,1,900,5.7,2,null,675675
0,0,0,0,1,2400,8.3,2,null,290000
0,0,0,0,1,3200,9.2,2,null,397456
0,0,0,0,1,300,8.7,2,null,240000
0,0,0,0,1,500,7.7,2,null,567000
0,0,0,0,1,1300,6.7,2,null,1235000
0,0,0,0,1,1500,8.1,2,null,330000
0,0,0,0,1,400,7.9,2,null,450000
0,0,0,0,1,400,7.7,2,null,270000
0,0,0,0,1,2600,6.2,2,null,260000
0,0,0,0,1,1700,8.3,2,null,499140
0,0,0,0,1,50,7.8,2,null,550000
0,0,0,0,1,1500,8.7,2,null,500000
0,0,0,0,1,600,6.2,2,null,774217
0,0,0,0,1,3700,8.9,2,null,475000
0,0,0,0,1,1400,7.2,2,null,350000
0,0,0,0,1,350,10,2,null,1020000
0,0,0,0,1,11200,9.5,2,null,1080000
0,0,0,0,1,1800,9.7,2,null,350000
0,0,0,0,1,6000,7.2,2,null,252000
0,0,0,0,1,500,6.6,2,null,500000
0,0,0,0,1,2800,8,2,null,240000
0,0,0,0,1,1400,7.3,2,null,370000
0,0,0,0,1,1300,8.6,2,null,364500
0,0,0,0,1,1400,5.9,2,null,260000
0,0,0,0,1,1700,8.3,2,null,500000
0,0,0,0,1,2700,8.7,2,null,400000
0,0,0,0,1,200,7.7,2,null,320000
0,0,0,0,1,9000,7.6,2,25,1085000
0,0,0,0,1,1700,6,2,null,330000
0,0,0,0,1,5600,9,2,null,400000
0,0,0,0,1,200,7.9,2,null,592200
0,0,0,0,1,450,7.6,2,null,574000
0,0,0,0,1,600,8.6,2,null,1598454
0,0,0,0,1,1200,7.8,2,null,350000
0,0,0,0,1,600,7.9,2,null,180000
0,0,0,0,1,2200,7.6,2,null,1066188
0,0,0,0,1,1300,8.3,2,null,490000
0,0,0,0,1,3200,8.3,2,null,1758240
0,0,0,0,1,9700,7.6,2,null,599000
0,0,0,0,1,450,5.9,2,null,600000
0,0,0,0,1,400,7.2,2,null,300000
0,0,0,0,1,600,6.3,2,null,360000
0,0,0,0,1,1300,8.3,2,null,658800
0,0,0,0,1,3400,8,2,null,375000
0,0,0,0,1,600,9.2,2,null,990000
0,0,0,0,1,600,8.6,2,null,243000
0,0,0,0,1,3000,7.8,2,null,250000
0,0,0,0,1,13200,8.8,2,null,1641600
0,0,0,0,1,500,6.7,2,null,216000
0,0,0,0,1,2700,8.7,2,null,280000
0,0,0,0,1,1500,9.5,2,null,400000
0,0,0,0,1,900,7.7,2,null,1450000
0,0,0,0,1,9000,6.5,2,null,800000
0,0,0,0,1,3700,8.5,2,null,900000
0,0,0,0,1,1200,9.6,2,null,414000
0,0,0,0,1,600,9.5,2,null,490000
0,0,0,0,1,450,8.2,2,null,469590
0,0,0,0,1,1400,9.3,2,null,5648412
0,0,0,0,1,8700,8.6,2,null,800000
0,0,0,0,1,8700,8.6,2,23,700000
0,0,0,0,1,400,8.3,2,null,822000
0,0,0,0,1,3200,9.2,2,null,2700000
0,0,0,0,1,400,9.3,2,null,300000
0,0,0,0,1,3000,8.5,2,null,550000
0,0,0,0,1,10000,9,2,null,1400000
0,0,0,0,1,2000,8.8,2,null,280000
0,0,0,0,1,1300,8,2,null,621000
0,0,0,0,1,900,8.6,2,null,1251275
0,0,0,0,1,300,8.4,2,null,270000
0,0,0,0,1,300,8.5,2,null,350000
0,0,0,0,1,1300,8.9,2,null,2990400
0,0,0,0,1,1300,8.2,2,null,390000
0,0,0,0,1,600,8.2,2,null,470000
0,0,0,0,1,1600,9.1,2,null,358020
0,0,0,0,1,5400,8.1,2,null,500000
0,0,0,0,1,1400,8.4,2,null,400000
0,0,0,0,1,1400,9,2,null,261990
0,0,0,0,1,6900,8.2,2,null,2236000
0,0,0,0,1,7100,9.4,2,55,1161000
0,0,0,0,1,1900,6,2,null,313110
0,0,0,0,1,800,8.4,2,null,1134276
0,0,0,0,1,5500,6,2,null,200000
0,0,0,0,1,1300,9,2,null,2419999
0,0,0,0,1,900,9.6,2,null,540000
0,0,0,0,1,11600,8.5,2,null,1158050
0,0,0,0,1,350,8.3,2,18,730000
0,0,0,0,1,600,5.5,2,null,600000
