address,distance,distance_type,rating,capaciity,area,price
dalat,1500,km,86,3,54,2477750
dalat,150,m,83,3,33,1559000
dalat,1500,km,89,3,240,2850000
dalat,900,km,80,3,79,750000
dalat,1300,km,10,3,150,412500
dalat,2200,km,87,3,100,1320031
dalat,150,m,83,3,33,1559000
dalat,1700,km,100,3,200,675000
dalat,1400,km,100,3,210,1052474
dalat,900,km,83,4,25,1550000
dalat,10900,km,80,4,20,1955000
dalat,300,m,100,4,100,4000000
dalat,1600,km,93,4,350,2500000
dalat,3000,km,55,4,56,2800000
dalat,1400,km,95,4,50,1215000
dalat,1000,km,50,4,100,1600000
dalat,2100,km,97,4,32,800000
dalat,1800,km,100,4,120,1800000
dalat,1700,km,100,4,120,1224000
dalat,1900,km,76,4,40,610000
dalat,1700,km,82,4,22,2000000
dalat,3800,km,96,4,80,1614600
dalat,1500,km,93,4,250,3000000
dalat,1800,km,100,4,150,3385800
dalat,1900,km,92,4,250,1100000
dalat,1300,km,80,4,300,1680000
dalat,1600,km,90,4,100,2092925
dalat,1100,km,88,4,100,1428000
dalat,600,km,90,4,150,1425000
dalat,2300,km,87,4,65,1800000
dalat,10800,km,83,4,40,904400
dalat,3200,km,100,4,250,5100000
dalat,600,km,88,4,100,2551500
dalat,250,m,95,4,70,1800000
dalat,12200,km,10,4,300,4500000
dalat,1400,km,88,4,400,2400000
dalat,300,m,86,4,101,2700000
dalat,2300,km,77,4,99,1599000
dalat,1300,km,100,4,40,1200000
dalat,1600,km,100,4,60,1539000
dalat,1800,km,97,4,100,1154250
dalat,250,m,82,4,30,600000
dalat,1500,km,96,4,300,4275000
dalat,1300,km,95,4,87,3400000
dalat,1400,km,94,4,140,1440000
dalat,700,km,94,4,70,3684600
dalat,1100,km,100,4,220,1487500
dalat,3200,km,83,4,60,4680000
dalat,3900,km,91,4,35,1653912
dalat,2100,km,90,4,131,1235250
dalat,1900,km,70,4,300,5260000
dalat,3000,km,10,4,15,864000
dalat,800,km,94,4,160,1750000
dalat,1300,km,84,4,33,1306800
dalat,2200,km,80,4,38,1000000
dalat,2200,km,100,4,100,1656000
dalat,1600,km,85,4,35,1066667
dalat,4700,km,89,4,22,1300000
dalat,600,km,82,4,75,5278500
dalat,6400,km,84,4,120,8541000
dalat,1300,km,100,4,300,1570800
dalat,2300,km,88,4,350,3672000
