address,distance,rating,capaciity,area,price
dalat,12600,42,2,120,2800000
dalat,1000,88,2,120,2800000
dalat,450,80,1,,2790000
dalat,2500,89,2,,2769660
dalat,1700,99,2,70,2708640
dalat,1300,95,1,87,2700000
dalat,300,86,1,101,2700000
dalat,1300,95,2,87,2700000
dalat,300,86,2,101,2700000
dalat,1700,99,1,70,2677860
dalat,2100,94,2,100,2641500
dalat,2900,80,1,280,2600000
dalat,2900,58,1,280,2600000
dalat,2900,76,2,280,2600000
dalat,2900,43,2,280,2600000
dalat,2100,94,1,100,2596500
dalat,2400,86,1,,2565000
dalat,2400,86,2,,2565000
dalat,2500,89,1,,2558160
dalat,3100,97,1,400,2550000
dalat,1000,74,2,,2550000
dalat,450,84,1,,2547000
dalat,900,69,2,,2520000
dalat,800,87,1,125,2500000
dalat,2100,100,1,,2500000
dalat,1700,27,1,,2500000
dalat,800,30,2,125,2500000
dalat,1600,92,2,350,2500000
dalat,2100,100,2,,2500000
dalat,1700,33,2,,2500000
dalat,1700,25,2,,2500000
dalat,900,80,1,,2484000
dalat,900,80,2,,2484000
dalat,1400,25,1,,2450000
dalat,1400,58,2,,2450000
dalat,200,40,2,,2414700
dalat,1400,88,1,400,2400000
dalat,1400,88,2,400,2400000
dalat,1400,36,1,120,2300000
dalat,1400,72,2,120,2300000
dalat,1400,88,2,120,2300000
dalat,1400,89,1,,2268000
dalat,1100,90,2,,2246400
dalat,1100,33,1,120,2240000
dalat,1100,66,2,120,2240000
dalat,2000,89,2,75,2240000
dalat,1100,90,1,,2217600
dalat,3000,34,1,,2200000
dalat,3000,60,2,,2200000
dalat,3000,56,2,,2200000
dalat,1400,94,1,150,2142000
dalat,1400,94,2,150,2142000
dalat,200,82,1,,2105190
dalat,200,82,2,,2105190
dalat,3400,60,1,,2100000
dalat,500,49,1,40,2100000
dalat,2000,62,1,,2100000
dalat,3400,79,1,,2100000
dalat,500,46,1,40,2100000
dalat,2000,74,2,,2100000
dalat,500,34,2,40,2100000
dalat,3400,28,2,,2100000
dalat,2000,71,2,,2100000
dalat,500,26,2,40,2100000
dalat,6400,84,1,,2036097
dalat,6400,84,2,,2036097
dalat,3000,55,1,56,2000000
dalat,1700,38,1,,2000000
dalat,2300,10,1,,2000000
dalat,1500,61,1,,2000000
dalat,3000,55,2,56,2000000
dalat,1700,39,2,,2000000
dalat,1500,85,2,,2000000
dalat,1500,45,2,,2000000
dalat,800,41,1,,1999999
dalat,500,88,1,80,1980000
dalat,2200,100,1,25,1980000
dalat,1100,83,1,,1980000
dalat,500,88,2,80,1980000
dalat,2200,100,2,25,1980000
dalat,1100,83,2,,1980000
dalat,1400,60,1,280,1960000
dalat,1400,60,2,280,1960000
dalat,2500,58,1,,1890000
dalat,2900,82,1,,1884960
dalat,2900,82,2,,1884960
dalat,1500,57,1,,1836000
dalat,1500,63,2,,1836000
dalat,600,74,1,150,1824000
dalat,600,74,2,150,1824000
dalat,2300,77,1,70,1820000
dalat,2300,87,1,70,1820000
dalat,2300,49,2,70,1820000
dalat,2300,72,2,70,1820000
dalat,150,74,1,,1814400
dalat,1800,100,1,120,1800000
dalat,250,95,1,70,1800000
dalat,2700,85,1,,1800000
dalat,400,88,1,,1800000
dalat,400,32,1,,1800000
dalat,1700,42,2,,1800000
dalat,1800,100,2,120,1800000
dalat,250,95,2,70,1800000
dalat,2700,85,2,,1800000
dalat,400,46,2,,1800000
dalat,400,39,2,,1800000
dalat,800,94,1,160,1750000
dalat,800,94,2,160,1750000
dalat,1400,47,1,90,1732500
dalat,1400,85,2,90,1732500
dalat,1700,49,2,,1728000
dalat,5300,82,1,,1713600
dalat,3200,84,2,,1710000
dalat,3100,100,1,,1700000
dalat,1800,92,1,,1700000
dalat,1800,92,2,,1700000
dalat,3000,55,2,45,1700000
dalat,3000,61,2,45,1700000
dalat,250,77,1,,1690000
dalat,250,77,2,,1690000
dalat,1700,79,1,,1680000
dalat,2300,89,1,150,1680000
