hcm,hn,dn,dl,other,distance,rating,capacity,area,price
0,0,0,1,0,1000,6.9000001,1,120,2800000
0,0,0,1,0,2100,7.80000019,1,130,735300
0,0,0,1,0,2700,4.19999981,1,225,3325000
0,0,0,1,0,300,8.60000038,1,101,2700000
0,0,0,1,0,2900,6.5999999,1,280,2600000
0,0,0,1,0,1500,9.60000038,1,300,4275000
0,0,0,1,0,250,9.5,1,70,1800000
0,0,0,1,0,2800,4.80000019,1,300,1040000
0,0,0,1,0,2000,7.19999981,1,25,3500000
0,0,0,1,0,12200,1,1,300,4500000
0,0,0,1,0,1900,9.19999981,1,250,1100000
0,0,0,1,0,1500,4.5,1,300,1494000
0,0,0,1,0,1100,8,1,160,1462500
0,0,0,1,0,2100,10,1,200,1350000
0,0,0,1,0,2000,9.5,1,35,500000
0,0,0,1,0,2700,2.5,1,30,768000
0,0,0,1,0,2200,10,1,100,1656000
0,0,0,1,0,1700,8.19999981,1,18,1300000
0,0,0,1,0,1600,9,1,100,1674340
0,0,0,1,0,1400,8.80000019,1,400,2400000
0,0,0,1,0,1700,8.89999962,1,200,1008000
0,0,0,1,0,1600,10,1,40,552500
0,0,0,1,0,2300,7.69999981,1,99,1599000
0,0,0,1,0,1100,8.69999981,1,100,1193400
0,0,0,1,0,3100,9.69999981,1,400,2550000
0,0,0,1,0,1600,10,1,60,1539000
0,0,0,1,0,250,8.19999981,1,30,600000
0,0,0,1,0,350,8.39999962,1,25,1053000
0,0,0,1,0,1400,5.69999981,1,60,900000
0,0,0,1,0,8300,10,1,20,630000
0,0,0,1,0,1700,10,1,120,1200000
0,0,0,1,0,1300,9.19999981,1,25,360000
0,0,0,1,0,1300,10,1,40,1200000
0,0,0,1,0,2800,1,1,150,1000000
0,0,0,1,0,2800,8.80000019,1,30,720000
0,0,0,1,0,800,8,1,25,440000
0,0,0,1,0,800,9.39999962,1,160,1750000
0,0,0,1,0,700,10,1,25,959000
0,0,0,1,0,1200,2.4000001,1,192,1440000
0,0,0,1,0,2100,9,1,130,1101600
0,0,0,1,0,500,8.80000019,1,80,1980000
0,0,0,1,0,1400,9.39999962,1,150,2142000
0,0,0,1,0,2000,8.60000038,1,130,850500
0,0,0,1,0,2300,9.10000038,1,52,990000
0,0,0,1,0,2300,8.69999981,1,50,1222222
0,0,0,1,0,600,8.30000019,1,150,600000
0,0,0,1,0,2700,7.80000019,1,70,598500
0,0,0,1,0,700,3.70000005,1,75,921600
0,0,0,1,0,1300,10,1,300,1201200
0,0,0,1,0,1900,8.69999981,1,500,3800000
0,0,0,1,0,900,8.30000019,1,20,700000
0,0,0,1,0,600,2.79999995,1,150,1824000
0,0,0,1,0,2800,8,1,400,4499999
0,0,0,1,0,2100,9,1,132,1102500
0,0,0,1,0,1500,8.89999962,1,240,2850000
0,0,0,1,0,1600,8,1,33,1403000
0,0,0,1,0,1600,8.5,1,30,933333
0,0,0,1,0,2200,10,1,25,1980000
0,0,0,1,0,2800,9.10000038,1,30,450000
0,0,0,1,0,1500,4.9000001,1,130,665720
0,0,0,1,0,5300,8.19999981,1,35,1606500
0,0,0,1,0,1500,6.0999999,1,72,3150000
0,0,0,1,0,4200,8.30000019,1,50,741000
0,0,0,1,0,2100,8.60000038,1,134,697500
0,0,0,1,0,900,9.80000019,1,120,3325000
0,0,0,1,0,2200,8,1,26,648000
0,0,0,1,0,1400,10,1,200,4879000
0,0,0,1,0,1500,2.0999999,1,300,4270000
0,0,0,1,0,2100,8.69999981,1,130,561000
0,0,0,1,0,900,8.69999981,1,200,3328000
0,0,0,1,0,1200,3.5999999,1,70,1200000
0,0,0,1,0,1300,8.30000019,1,20,321750
0,0,0,1,0,2300,7,1,70,1820000
0,0,0,1,0,2100,9.39999962,1,100,2596500
0,0,0,1,0,300,7.9000001,1,40,1200000
0,0,0,1,0,1100,8.60000038,1,13,780000
0,0,0,1,0,4100,2.4000001,1,250,3200000
0,0,0,1,0,600,9,1,28,1629000
